Posición,Lenguaje,Cantidad de repositorios
1,JavaScript,1813
2,Python,1623
3,TypeScript,1257
4,HTML,618
5,Java,598
6,C#,492
7,PHP,409
8,CSS,399
9,C++,303
10,Jupyter Notebook,238
11,Kotlin,200
12,Dart,188
13,Vue,168 
14,Shell,165 
15,C,156
16,Astro,116
17,Go,77
18,Julia,71
19,TeX,66
20,Rust,56
21,Ruby,40
22,Lua,36
23,SCSS,34
24,Erlang,31
25,Dockerfile,29
26,Swift,28
27,Pascal,24
28,Assembly,17
29,Makefile,16
30,Haskell,16
31,Prolog,14
32,Svelte,14
33,GDScript,13
34,Batchfile,12
35,Solidity,11
36,PowerShell,10
37,Emacs Lisp,9
38,R,8
39,Clojure,8
40,EJS,7
41,Elixir,7
42,Blade,7
43,ShaderLab,7
44,Objective-C,6
45,Vala,6
46,Cool,5
47,Perl,4
48,ReScript,4
49,HCL,4
50,MDX,4
51,MATLAB,4
52,Twig,4
53,Jinja,3
54,Nix,3
55,Roff,3
56,Markdown,3
57,XSLT,3
58,Handlebars,3
59,Liquid,3
60,Papyrus,3
61,Lex,2
62,Arduino,2
63,Scala,2
64,OCaml,2
65,Cuda,2
66,PLpgSQL,2
67,Smarty,2
68,Zig,2
69,GAP,2
70,V,2
71,Rich Text Format,2
72,Vim script,2
73,CMake,2
74,Less,1
75,Mermaid,1
76,VimL,1
77,PureBasic,1
78,Objective-C++,1
79,GAML,1
80,Mathematica,1
81,ANTLR,1
82,Circom,1
83,ASL,1
84,Pawn,1
85,DIGITAL Command Language,1
86,ActionScript,1
87,Vim Script,1
88,SVG,1
89,F#,1
90,M4,1
91,DM,1
92,Inno Setup,1
93,FreeMarker,1
94,NSIS,1
95,Yacc,1
96,OpenSCAD,1
97,Matlab,1
98,QML,1
99,Hack,1
100,Logos,1
101,Groovy,1
102,DataWeave,1
103,TSQL,1
104,Crystal,1
105,Fortran,1