Posición,Cambio,IDE,Calificación(%),Cambio respecto a 1 año atrás(%)
1,-,Visual Studio,27.84,-0.2
2,-,Visual Studio Code,13.89,+0.6
3,-,Eclipse,11.26,-1.3
4,↑,pyCharm,9.49,+1.0
5,↓,Android Studio,9.18,+0.4
6,-,IntelliJ,7.56,+0.2
7,-,NetBeans,4.16,-0.5
8,↑,Xcode,3.29,+0.3
9,↓,Sublime Text,2.96,-0.8
10,-,Atom,2.94,+0.2
11,-,RStudio,2.94,+0.4
12,-,Code::Blocks,1.62,+0.1
13,-,Vim,0.86,-0.1
14,-,PhpStorm,0.41,-0.1
15,↑↑↑,Qt Creator,0.26,+0.0
16,↓,Xamarin,0.24,-0.1
17,-,Komodo,0.24,+0.0
18,↑,Emacs,0.2,+0.0
19,↓↓↓,geany,0.14,-0.1
20,-,JDeveloper,0.1,-0.0
21,-,Light Table,0.08,-0.0
22,↑,RAD Studio,0.05,-0.0
23,↑↑↑↑↑,RubyMine,0.05,+0.0
24,↑,Aptana,0.05,+0.0
25,↓↓↓,JCreator,0.05,-0.0
26,↑↑↑↑↑,Monkey Studio,0.03,+0.0
27,↑↑↑,DrJava,0.03,+0.0
28,↑↑↑↑,SharpDevelop,0.02,+0.0
29,↓↓↓,Eric Python,0.02,-0.0
30,↓,MonoDevelop,0.02,-0.0
31,↓↓↓↓,Julia Studio,0.02,-0.0
32,↑,Zend Studio,0.01,+0.0
33,↓↓↓↓↓↓↓↓↓,Coda2,0.0,-0.0